datafrae,lizard,year,average_dist
"distinct(year, lizard, lat, long)",p,2016,63.57356414
"distinct(year, lizard, lat, long)",r,2016,44.70009272
"distinct(year, lizard, lat, long)",s,2016,48.35971748
"distinct(year, lizard, lat, long)",t,2016,52.20865668
"distinct(year, lizard, lat, long)",u,2016,45.05684354
"distinct(year, lizard, lat, long)",v,2016,47.04100385
"distinct(year, lizard, lat, long)",w,2016,161.8436773
"distinct(year, lizard, lat, long)",x,2016,24.13150532
"distinct(year, lizard, lat, long)",z,2016,83.97600794
"distinct(year, lat, long, microsite)",100,2018,58.83891738
"distinct(year, lat, long, microsite)",12,2018,80.4166128
"distinct(year, lat, long, microsite)",12B,2018,93.98428186
"distinct(year, lat, long, microsite)",13,2018,49.01437049
"distinct(year, lat, long, microsite)",130,2018,160.8129321
"distinct(year, lat, long, microsite)",1337,2018,220.6747266
"distinct(year, lat, long, microsite)",16,2018,208.0009991
"distinct(year, lat, long, microsite)",176,2018,63.55109754
"distinct(year, lat, long, microsite)",19,2018,96.63765757
"distinct(year, lat, long, microsite)",2,2018,24.12906534
"distinct(year, lat, long, microsite)",20,2018,140.475443
"distinct(year, lat, long, microsite)",200,2018,56.9326589
"distinct(year, lat, long, microsite)",22,2018,72.50373874
"distinct(year, lat, long, microsite)",23,2018,46.96219093
"distinct(year, lat, long, microsite)",25,2018,227.5944431
"distinct(year, lat, long, microsite)",26,2018,71.98142536
"distinct(year, lat, long, microsite)",30,2018,55.21039548
"distinct(year, lat, long, microsite)",31,2018,153.5507117
"distinct(year, lat, long, microsite)",35,2018,44.01594644
"distinct(year, lat, long, microsite)",381,2017,54.16193716
"distinct(year, lat, long, microsite)",39,2018,50.91298726
"distinct(year, lat, long, microsite)",4,2018,25.5235714
"distinct(year, lat, long, microsite)",40,2018,54.85261463
"distinct(year, lat, long, microsite)",439,2017,77.44542863
"distinct(year, lat, long, microsite)",44,2018,66.03352073
"distinct(year, lat, long, microsite)",460,2017,31.41037931
"distinct(year, lat, long, microsite)",47,2018,56.51147051
"distinct(year, lat, long, microsite)",480,2017,31.66623107
"distinct(year, lat, long, microsite)",540,2017,68.68132128
"distinct(year, lat, long, microsite)",56,2018,175.5187419
"distinct(year, lat, long, microsite)",620,2017,58.64350281
"distinct(year, lat, long, microsite)",64,2018,64.33045521
"distinct(year, lat, long, microsite)",640,2017,67.67152243
"distinct(year, lat, long, microsite)",7,2018,47.06796414
"distinct(year, lat, long, microsite)",740,2017,24.60233757
"distinct(year, lat, long, microsite)",760,2017,63.10043381
"distinct(year, lat, long, microsite)",780,2017,109.1892859
"distinct(year, lat, long, microsite)",80,2018,112.2754394
"distinct(year, lat, long, microsite)",800,2017,64.39123705
"distinct(year, lat, long, microsite)",841,2017,33.27126291
"distinct(year, lat, long, microsite)",9,2018,125.3930049
"distinct(year, lat, long, microsite)",901,2017,31.32919771
"distinct(year, lat, long, microsite)",919,2017,51.08717371
"distinct(year, lat, long, microsite)",93,2018,69.25279471
"distinct(year, lat, long, microsite)",941,2017,95.48937025
"distinct(year, lat, long, microsite)",960,2017,44.84791981
"distinct(year, lat, long, microsite)",980,2017,52.96080939
"distinct(year, lat, long, microsite)",99,2018,22.52990268
"distinct(year, lat, long, microsite)",a,2016,52.86798157
"distinct(year, lat, long, microsite)",ab,2016,50.75063705
"distinct(year, lat, long, microsite)",ac,2016,50.08244887
"distinct(year, lat, long, microsite)",b,2016,26.61710929
"distinct(year, lat, long, microsite)",c,2016,113.7860688
"distinct(year, lat, long, microsite)",d,2016,78.91378418
"distinct(year, lat, long, microsite)",f,2016,19.99252781
"distinct(year, lat, long, microsite)",g,2016,106.258753
"distinct(year, lat, long, microsite)",i,2016,21.87346184
"distinct(year, lat, long, microsite)",j,2016,26.08365278
"distinct(year, lat, long, microsite)",k,2016,125.4038827
"distinct(year, lat, long, microsite)",l,2016,45.35950088
"distinct(year, lat, long, microsite)",m,2016,55.9690223
"distinct(year, lat, long, microsite)",n,2016,62.26815
"distinct(year, lat, long, microsite)",o,2016,59.7690111
"distinct(year, lat, long, microsite)",p,2016,64.6593249
"distinct(year, lat, long, microsite)",r,2016,33.05001862
"distinct(year, lat, long, microsite)",s,2016,34.04749234
"distinct(year, lat, long, microsite)",t,2016,55.57109086
"distinct(year, lat, long, microsite)",u,2016,34.45073894
"distinct(year, lat, long, microsite)",v,2016,40.84862051
"distinct(year, lat, long, microsite)",w,2016,156.5785794
"distinct(year, lat, long, microsite)",x,2016,24.13150532
"distinct(year, lat, long, microsite)",z,2016,77.95033991
